value;value_err;distance_px;distance_pc
16.3976;15.1753;3.1622776601683795;0.3756129380851104
16.3694;15.1496;3.605551275463989;0.4282646413539269
16.3318;15.0499;3.605551275463989;0.4282646413539269
16.4058;15.1227;3.605551275463989;0.4282646413539269
16.4333;15.0597;3.1622776601683795;0.3756129380851104
16.452;14.9868;3.1622776601683795;0.3756129380851104
16.3949;14.9856;3.605551275463989;0.4282646413539269
16.4435;15.1041;4.0;0.4751169611907013
15.7572;14.71;5.0;0.5938962014883766
15.7464;14.6621;5.0;0.5938962014883766
15.8313;14.6828;4.47213595499958;0.5311969112427688
15.9124;14.7025;4.123105625617661;0.48973935387793704
15.9189;14.7343;4.123105625617661;0.48973935387793704
15.8272;14.6794;4.47213595499958;0.5311969112427688
15.6869;14.6238;5.0;0.5938962014883766
15.6319;14.6151;5.0;0.5938962014883766
15.8012;14.6567;4.242640687119285;0.5039376376720359
15.8171;14.6727;4.242640687119285;0.5039376376720359
15.6035;14.6369;5.0;0.5938962014883766
15.6543;14.6785;4.47213595499958;0.5311969112427688
15.8169;14.719;4.47213595499958;0.5311969112427688
15.8052;14.6842;4.123105625617661;0.48973935387793704
15.9828;14.7355;4.123105625617661;0.48973935387793704
15.7652;14.6873;5.0;0.5938962014883766
15.899;14.6854;5.0;0.5938962014883766
16.0372;14.734;4.123105625617661;0.48973935387793704
16.1785;14.7592;4.123105625617661;0.48973935387793704
16.0539;14.7437;4.47213595499958;0.5311969112427688
16.1421;14.7342;4.47213595499958;0.5311969112427688
16.0434;14.7503;5.0;0.5938962014883766
16.1927;14.7768;4.242640687119285;0.5039376376720359
16.1901;14.735;4.242640687119285;0.5039376376720359
16.0295;14.6974;5.0;0.5938962014883766
16.1236;14.7588;5.0;0.5938962014883766
16.2048;14.7773;4.47213595499958;0.5311969112427688
16.2756;14.7957;4.123105625617661;0.48973935387793704
16.3115;14.7695;4.123105625617661;0.48973935387793704
16.2299;14.7367;4.47213595499958;0.5311969112427688
16.0722;14.7111;5.0;0.5938962014883766
16.1737;14.7753;5.0;0.5938962014883766
15.6167;14.9838;6.0;0.7126754417860519
15.6405;14.6402;5.830951894845301;0.6925960362820153
15.7196;14.6445;5.385164807134504;0.6396457846692136
15.6879;14.6614;5.0990195135927845;0.6056576640875729
15.7873;14.7237;5.0990195135927845;0.6056576640875729
15.6639;14.6379;5.385164807134504;0.6396457846692136
15.1772;-10.0;5.830951894845301;0.6925960362820153
15.6188;14.6995;5.656854249492381;0.6719168502293813
15.1709;-10.0;5.656854249492381;0.6719168502293813
15.5175;14.6762;5.830951894845301;0.6925960362820153
15.4203;14.6093;5.830951894845301;0.6925960362820153
15.5104;14.6112;5.385164807134504;0.6396457846692136
15.6335;14.6786;5.385164807134504;0.6396457846692136
15.6577;14.6614;5.0990195135927845;0.6056576640875729
15.75;14.6489;5.0990195135927845;0.6056576640875729
15.6398;14.6382;6.0;0.7126754417860519
15.6689;14.6155;6.0;0.7126754417860519
15.8211;14.6813;5.0990195135927845;0.6056576640875729
15.9791;14.7103;5.0990195135927845;0.6056576640875729
15.8171;14.6841;5.385164807134504;0.6396457846692136
15.972;14.6945;5.385164807134504;0.6396457846692136
15.7999;14.6981;5.830951894845301;0.6925960362820153
15.8434;14.6616;5.830951894845301;0.6925960362820153
15.9514;14.7451;5.656854249492381;0.6719168502293813
15.8781;14.6812;5.656854249492381;0.6719168502293813
15.967;14.7169;5.830951894845301;0.6925960362820153
16.0651;14.7502;5.385164807134504;0.6396457846692136
16.135;14.7783;5.0990195135927845;0.6056576640875729
16.1506;14.748;5.0990195135927845;0.6056576640875729
16.0347;14.7111;5.385164807134504;0.6396457846692136
15.8643;14.6785;5.830951894845301;0.6925960362820153
15.9373;14.7375;6.0;0.7126754417860519
15.3221;14.5085;7.0;0.8314546820837273
15.5238;14.6316;6.708203932499369;0.7967953668641532
15.572;14.6095;6.324555320336759;0.7512258761702209
15.5548;14.655;6.082762530298219;0.7225059122599877
15.6094;14.9431;6.082762530298219;0.7225059122599877
15.5567;14.703;6.324555320336759;0.7512258761702209
15.1091;-10.0;6.708203932499369;0.7967953668641532
15.6334;15.3404;6.4031242374328485;0.7605582324539054
15.0916;-10.0;6.4031242374328485;0.7605582324539054
