value;value_err;distance_px;distance_pc
150;-10;9.055385138;1.075591767
150;-10;9.219544457;1.095090487
150;-10;9.486832981;1.126838814
150;-10;9.848857802;1.169839847
150;-10;10;1.187792403
150;-10;9.433981132;1.120561112
150;-10;9.433981132;1.120561112
150;-10;10;1.187792403
150;-10;9.899494937;1.175854488
150;-10;9.219544457;1.095090487
150;-10;9.219544457;1.095090487
150;-10;9.899494937;1.175854488
150;-10;10;1.187792403
150;-10;9.219544457;1.095090487
150;-10;9.219544457;1.095090487
150;-10;10;1.187792403
150;-10;9.433981132;1.120561112
150;-10;9.433981132;1.120561112
150;-10;9.848857802;1.169839847
150;-10;9.848857802;1.169839847
150;-10;9.486832981;1.126838814
155.6648;97.7657;9.486832981;1.126838814
266.893;68.1525;9.219544457;1.095090487
150;-10;9.219544457;1.095090487
263.0886;61.1314;9.055385138;1.075591767
150;-10;9.055385138;1.075591767
144.7378;82.8211;10;1.187792403
150;-10;10;1.187792403
163.0653;53.693;9.055385138;1.075591767
150;-10;9.055385138;1.075591767
150;-10;9.219544457;1.095090487
150;-10;9.219544457;1.095090487
150;-10;9.486832981;1.126838814
150;-10;9.486832981;1.126838814
150;-10;9.848857802;1.169839847
150;-10;9.848857802;1.169839847
178.5282;64.6134;9.433981132;1.120561112
150;-10;9.433981132;1.120561112
249.0552;69.5222;10;1.187792403
220.935;49.3862;9.219544457;1.095090487
150;-10;9.219544457;1.095090487
150;-10;10;1.187792403
154.6036;49.3876;9.899494937;1.175854488
147.8263;50.1642;9.219544457;1.095090487
150;-10;9.219544457;1.095090487
150;-10;9.899494937;1.175854488
150;-10;10;1.187792403
150;-10;9.433981132;1.120561112
150;-10;9.433981132;1.120561112
150;-10;10;1.187792403
113.4582;54.3313;9.848857802;1.169839847
106.5685;47.8457;9.486832981;1.126838814
136.75;45.277;9.219544457;1.095090487
150;-10;9.055385138;1.075591767
150;-10;9.055385138;1.075591767
150;-10;9.219544457;1.095090487
150;-10;9.486832981;1.126838814
150;-10;9.848857802;1.169839847
150;-10;10;1.187792403
150;-10;11;1.306571643
150;-10;10.77032961;1.279291569
164.1706;63.9782;10.44030651;1.240091676
150;-10;10.19803903;1.211315328
150;-10;10.04987562;1.193716591
150;-10;10.04987562;1.193716591
150;-10;10.19803903;1.211315328
150;-10;10.44030651;1.240091676
150;-10;10.77032961;1.279291569
150;-10;10.81665383;1.284793924
150;-10;10.29563014;1.222907127
150;-10;10.29563014;1.222907127
150;-10;10.81665383;1.284793924
150;-10;10.63014581;1.262640644
150;-10;10.63014581;1.262640644
150;-10;10.63014581;1.262640644
150;-10;10.63014581;1.262640644
150;-10;10.81665383;1.284793924
150;-10;10.81665383;1.284793924
150;-10;10.29563014;1.222907127
150;-10;10.29563014;1.222907127
150;-10;10.77032961;1.279291569
150;-10;10.77032961;1.279291569
150;-10;10.44030651;1.240091676
150;-10;10.44030651;1.240091676
214.4702;88.7677;10.19803903;1.211315328
150;-10;10.19803903;1.211315328
150;-10;10.04987562;1.193716591
150;-10;10.04987562;1.193716591
150.4365;87.7183;11;1.306571643
150;-10;11;1.306571643
91.3059;78.3304;10.04987562;1.193716591
150;-10;10.04987562;1.193716591
150;-10;10.19803903;1.211315328
150;-10;10.19803903;1.211315328
97.8171;50.9866;10.44030651;1.240091676
150;-10;10.44030651;1.240091676
115.0137;47.0606;10.77032961;1.279291569
150;-10;10.77032961;1.279291569
205.1507;62.5814;10.29563014;1.222907127
150;-10;10.29563014;1.222907127
205.3814;73.2054;10.81665383;1.284793924
150;-10;10.81665383;1.284793924
85.4792;73.3366;10.63014581;1.262640644
150;-10;10.63014581;1.262640644
150;-10;10.63014581;1.262640644
150;-10;10.63014581;1.262640644
150;-10;10.81665383;1.284793924
150;-10;10.29563014;1.222907127
150;-10;10.29563014;1.222907127
150;-10;10.81665383;1.284793924
226;-1;10.77032961;1.279291569
252.0378;-1;10.44030651;1.240091676
150;-10;10.19803903;1.211315328
150;-10;10.04987562;1.193716591
150;-10;10.04987562;1.193716591
150;-10;10.19803903;1.211315328
150;-10;10.44030651;1.240091676
150;-10;10.77032961;1.279291569
150;-10;11;1.306571643
150;-10;12;1.425350884
150;-10;11.70469991;1.390275363
150;-10;11.40175425;1.354291708
150;-10;11.18033989;1.327992278
150;-10;11.04536102;1.31195959
150;-10;11.04536102;1.31195959
150;-10;11.18033989;1.327992278
150;-10;11.40175425;1.354291708
150;-10;11.70469991;1.390275363
150;-10;11.66190379;1.385192073
150;-10;11.18033989;1.327992278
150;-10;11.18033989;1.327992278
150;-10;11.66190379;1.385192073
150;-10;11.40175425;1.354291708
150;-10;11.40175425;1.354291708
150;-10;11.3137085;1.3438337
150;-10;11.3137085;1.3438337
150;-10;11.40175425;1.354291708
150;-10;11.40175425;1.354291708
150;-10;11.66190379;1.385192073
150;-10;11.66190379;1.385192073
150;-10;11.18033989;1.327992278
150;-10;11.18033989;1.327992278
150;-10;11.70469991;1.390275363
150;-10;11.70469991;1.390275363
150;-10;11.40175425;1.354291708
150;-10;11.40175425;1.354291708
150;-10;11.18033989;1.327992278
150;-10;11.18033989;1.327992278
178.0991;76.9917;11.04536102;1.31195959
150;-10;11.04536102;1.31195959
150;-10;12;1.425350884
150;-10;12;1.425350884
150;-10;11.04536102;1.31195959
150;-10;11.04536102;1.31195959
150;-10;11.18033989;1.327992278
150;-10;11.18033989;1.327992278
266.8753;-1;11.40175425;1.354291708
150;-10;11.40175425;1.354291708
367.2597;-1;11.70469991;1.390275363
150;-10;11.70469991;1.390275363
166.5264;55.3736;11.18033989;1.327992278
150;-10;11.18033989;1.327992278
202.4994;61.4683;11.66190379;1.385192073
150;-10;11.66190379;1.385192073
187.8612;73.9323;11.40175425;1.354291708
150;-10;11.40175425;1.354291708
155.3949;105.1852;11.3137085;1.3438337
150;-10;11.3137085;1.3438337
150;-10;11.40175425;1.354291708
150;-10;11.40175425;1.354291708
150;-10;11.66190379;1.385192073
150;-10;11.18033989;1.327992278
150;-10;11.18033989;1.327992278
150;-10;11.66190379;1.385192073
110;-1;11.70469991;1.390275363
150;-10;11.40175425;1.354291708
150;-10;11.18033989;1.327992278
150;-10;11.04536102;1.31195959
