Index,tag,Frequency,err,LgInt,dr,ELO,gup,qn1,qn2,qn3,qn4,qn5,qn6,qnn1,qnn2,qnn3,qnn4,qnn5,qnn6,Formula,qnfmt,qlog300,qlog225,qlog150,qlog75,qlog37,qlog18,qlog9,Transition,CHECK,Source,delta x,delta y,C,Area,delta Area,Width,delta Width,Velocity,delta Velocity,Intensity,delta Intensity,Continuum,delta Continuum,Cont.Size,Fraction,SourceSize,delta SourceSize,Telescope,N/EM,delta N/EM,Tex/Te,delta Tex/Te,Tbg,tau/taul,delta tau/taul,Filtered
46,51503,219675.1141,0.0039,-2.2235,3,530.2792,49,24,0,,,,,23,0,,,,,"HC3N,v7=2",202,3.1383,3.0133,2.8373,2.5364,2.2358,1.9356,1.6363,"24,0-23,0",true,,0.0,0.0,1,5.032583231823174E-6,,43.713116,,250.0,,1.0815501907633156E-7,,0.0,0.0,0.0,,0.0,-1.0,0.022x0.02,12.713566,,1142.0,,0.0,4.129617232148348E-6,0.0,true
47,51503,219707.3487,0.0029,-2.2312,3,532.5596,49,24,-2,,,,,23,2,,,,,"HC3N,v7=2",202,3.1383,3.0133,2.8373,2.5364,2.2358,1.9356,1.6363,"24,-2-23,2",true,,0.0,0.0,1,4.983444842373967E-6,,43.713116,,250.0,,1.0709898894436805E-7,,0.0,0.0,0.0,,0.0,-1.0,0.022x0.02,12.713566,,1142.0,,0.0,4.089298016680687E-6,0.0,true
48,51503,219741.8664,0.0029,-2.2311,3,532.566,49,24,2,,,,,23,-2,,,,,"HC3N,v7=2",202,3.1383,3.0133,2.8373,2.5364,2.2358,1.9356,1.6363,"24,2-23,-2",true,,0.0,0.0,1,4.9839291536439196E-6,,43.713116,,250.0,,1.0710939724371432E-7,,0.0,0.0,0.0,,0.0,-1.0,0.022x0.02,12.713566,,1142.0,,0.0,4.089698025841426E-6,0.0,true
49,51503,237968.8357,0.0041,-2.1511,3,545.2395,53,26,0,,,,,25,0,,,,,"HC3N,v7=2",202,3.1383,3.0133,2.8373,2.5364,2.2358,1.9356,1.6363,"26,0-25,0",true,,0.0,0.0,1,5.007458524392184E-6,,43.713116,,250.0,,1.0761505301594818E-7,,0.0,0.0,0.0,,0.0,-1.0,0.02x0.022,12.713566,,1142.0,,0.0,4.753451656729118E-6,0.0,true
50,51503,238010.1334,0.003,-2.1583,3,547.5222,53,26,-2,,,,,25,2,,,,,"HC3N,v7=2",202,3.1383,3.0133,2.8373,2.5364,2.2358,1.9356,1.6363,"26,-2-25,2",true,,0.0,0.0,1,4.964186859913817E-6,,43.713116,,250.0,,1.0668510451829992E-7,,0.0,0.0,0.0,,0.0,-1.0,0.02x0.022,12.713566,,1142.0,,0.0,4.7123785041173165E-6,0.0,true
51,51525,219086.2693,0.0096,-3.155,2,969.7337,49,24,0,2,,,,23,0,2,,,,"HC3N,v7=4/v5=v7=1",1303,3.1383,3.0133,2.8373,2.5364,2.2358,1.9356,1.6363,"24,0,2-23,0,2",true,,0.0,0.0,1,2.7944028640884837E-6,,43.713116,,250.0,,6.005440571478034E-8,,0.0,0.0,0.0,,0.0,-1.0,0.022x0.02,12.713566,,1142.0,,0.0,2.2929940614737543E-6,0.0,true
52,51525,219139.0223,0.0087,-3.1578,2,971.0807,49,24,0,1,,,,23,0,1,,,,"HC3N,v7=4/v5=v7=1",1303,3.1383,3.0133,2.8373,2.5364,2.2358,1.9356,1.6363,"24,0,1-23,0,1",true,,0.0,0.0,1,2.7890344377254657E-6,,43.713116,,250.0,,5.993903311010667E-8,,0.0,0.0,0.0,,0.0,-1.0,0.022x0.02,12.713566,,1142.0,,0.0,2.2885911486146055E-6,0.0,true
53,51525,219168.1981,0.0162,-3.1624,2,970.6483,49,24,2,3,,,,23,-2,3,,,,"HC3N,v7=4/v5=v7=1",1303,3.1383,3.0133,2.8373,2.5364,2.2358,1.9356,1.6363,"24,2,3-23,-2,3",true,,0.0,0.0,1,2.7550696677566883E-6,,43.713116,,250.0,,5.920909782874501E-8,,0.0,0.0,0.0,,0.0,-1.0,0.022x0.02,12.713566,,1142.0,,0.0,2.2607218354445342E-6,0.0,true
54,51525,219215.0214,0.0102,-3.161,2,970.6639,49,24,-2,3,,,,23,2,3,,,,"HC3N,v7=4/v5=v7=1",1303,3.1383,3.0133,2.8373,2.5364,2.2358,1.9356,1.6363,"24,-2,3-23,2,3",true,,0.0,0.0,1,2.763532583157675E-6,,43.713116,,250.0,,5.939097394642862E-8,,0.0,0.0,0.0,,0.0,-1.0,0.022x0.02,12.713566,,1142.0,,0.0,2.267668159516299E-6,0.0,true
55,51525,220558.9987,0.4494,-5.8731,2,963.2913,47,23,-2,3,,,,22,2,0,,,,"HC3N,v7=4/v5=v7=1",1303,3.1383,3.0133,2.8373,2.5364,2.2358,1.9356,1.6363,"23,-2,3-22,2,0",true,,0.0,0.0,1,4.419941339104354E-9,,43.713116,,250.0,,9.498882983362979E-11,,0.0,0.0,0.0,,0.0,-1.0,0.022x0.02,12.713566,,1142.0,,0.0,4.261255388769238E-9,0.0,false
